,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
915,Land Rover,2004,Nigerian Used,,4400,Petrol,Automatic,"2,100,000",SUV
916,Toyota,2013,Foreign Used,221667,3500,Petrol,Automatic,"8,840,000",
917,Lexus,2010,Nigerian Used,78708,3500,Petrol,Automatic,"5,310,000",SUV
918,Land Rover,,,192232,,,Automatic,"3,370,000",
919,Toyota,2008,Foreign Used,128369,3500,Petrol,Automatic,"3,640,000",
920,Toyota,2011,Nigerian Used,364344,2500,Petrol,Automatic,"3,560,000",SUV
921,Lexus,2008,Nigerian Used,230751,3500,Petrol,Automatic,"4,472,000",SUV
922,Jeep,2008,Nigerian Used,228941,3000,Petrol,Automatic,"1,680,000",SUV
923,Toyota,2006,Nigerian Used,253577,3300,Petrol,Automatic,"3,328,000",SUV
924,Infiniti,,,115506,,,Automatic,"3,370,000",
925,Toyota,2006,Nigerian Used,97296,3500,Petrol,Automatic,"1,995,000",
926,Toyota,2011,Nigerian Used,123088,2500,Petrol,Automatic,"3,224,000",
927,Dodge,2011,Foreign Used,163756,2400,Petrol,Automatic,"3,885,000",
928,Isuzu,,,73844,,,Manual,"2,048,400",
929,Lexus,2008,Foreign Used,155665,3500,Petrol,Automatic,"3,570,000",SUV
930,Toyota,2012,Nigerian Used,119606,2000,Petrol,Automatic,"3,150,000",
931,Mercedes-Benz,2012,Nigerian Used,101947,3000,Petrol,Automatic,"3,675,000",
932,Dodge,2011,Foreign Used,163756,2400,Petrol,Automatic,"3,885,000",
933,Toyota,2010,Foreign Used,85583,2500,Petrol,Automatic,"3,675,000",
934,Porsche,,,,,,Automatic,"2,810,000",
935,Lexus,2007,Nigerian Used,203830,3500,Petrol,Automatic,"4,576,000",SUV
936,Toyota,2010,Foreign Used,108433,,Petrol,Automatic,"5,720,000",
937,Ford,2016,Foreign Used,90908,35000,Petrol,Automatic,"12,600,000",
938,Mercedes-Benz,,,112170,,,Automatic,"6,730,000",
939,Toyota,2011,Nigerian Used,61436,2000,Petrol,Automatic,"5,625,000",SUV
940,Dodge,2014,Nigerian Used,69000,3600,Petrol,Automatic,"10,500,000",
941,Lexus,2008,Foreign Used,184977,3500,Petrol,Automatic,"4,992,000",
942,Ford,2012,Nigerian Used,160553,3500,Petrol,Automatic,"4,160,000",SUV
943,Ford,2008,Nigerian Used,218896,3500,Petrol,Automatic,"2,100,000",SUV
944,Mercedes-Benz,2009,Nigerian Used,350929,3500,Petrol,Automatic,"3,150,000",
945,Mercedes-Benz,,,112170,,,Automatic,"6,730,000",
946,Porsche,,,,,,Automatic,"2,810,000",
947,Toyota,2005,Nigerian Used,359333,1800,Petrol,Automatic,"2,193,750",
948,Ford,,,171010,,,Automatic,"2,045,000",
949,Mercedes-Benz,2006,Nigerian Used,,3500,Petrol,Automatic,"3,255,000",SUV
950,Jaguar,2011,Foreign Used,177218,4000,Petrol,Automatic,"9,450,000",
951,Toyota,2011,Foreign Used,12683,2700,Petrol,Automatic,"14,175,000",SUV
952,Isuzu,,,73844,,,Manual,"2,048,400",
953,Acura,2009,Nigerian Used,182036,3500,Petrol,Automatic,"3,120,000",SUV
954,Toyota,2010,Nigerian Used,99830,3300,Petrol,Automatic,"3,120,000",
955,Lexus,2007,Nigerian Used,123673,3500,Petrol,Automatic,"3,952,000",SUV
956,Toyota,2009,Foreign Used,459418,3500,Petrol,Automatic,"4,160,000",
957,Land Rover,2004,Nigerian Used,,4400,Petrol,Automatic,"2,100,000",SUV
958,Ford,2005,Nigerian Used,301242,5400,Petrol,Automatic,"2,912,000",
959,Toyota,2011,Foreign Used,177590,3500,Petrol,Automatic,"5,880,000",
960,Mercedes-Benz,2016,Foreign Used,52855,2000,Petrol,Automatic,"15,600,000",
961,Ford,2009,Foreign Used,114203,3500,Petrol,Automatic,"2,835,000",
962,Lexus,2008,Nigerian Used,230751,3500,Petrol,Automatic,"4,472,000",SUV
963,Ford,2016,Foreign Used,90908,35000,Petrol,Automatic,"12,600,000",
964,Toyota,2007,Foreign Used,237858,3500,Petrol,Automatic,"3,640,000",
965,Ford,,,180814,,,Automatic,"4,266,000",
966,Skoda,2012,Nigerian Used,41077,1600,Petrol,Automatic,"3,150,000",
967,Lexus,2007,Nigerian Used,203830,3500,Petrol,Automatic,"4,576,000",SUV
968,Toyota,2008,Nigerian Used,251684,3500,Petrol,Automatic,"3,885,000",SUV
969,Mercedes-Benz,2013,Nigerian Used,115724,3500,Petrol,Automatic,"5,736,000",
970,Ford,2007,Foreign Used,,3000,Petrol,Automatic,"2,625,000",
971,Ford,2008,Nigerian Used,218896,3500,Petrol,Automatic,"2,100,000",SUV
972,Peugeot,2003,Nigerian Used,3963,1600,Petrol,Automatic,"1,462,500",
973,Mercedes-Benz,2013,Nigerian Used,125394,4700,Petrol,Automatic,"12,375,000",SUV
974,Ford,2002,Nigerian Used,247814,4000,Petrol,Automatic,"2,100,000",
975,Lexus,2011,Nigerian Used,181282,3500,Petrol,Automatic,"7,280,000",SUV
976,Ford,2016,Nigerian Used,115658,3500,Petrol,Automatic,"10,500,000",SUV
977,Toyota,,,154309,,,Automatic,"5,050,000",
978,Toyota,2007,Foreign Used,197253,3300,Petrol,Automatic,"3,990,000",
979,Toyota,2009,Foreign Used,459418,3500,Petrol,Automatic,"4,160,000",
980,Toyota,2009,Nigerian Used,94618,3500,Petrol,Automatic,"4,725,000",SUV
981,Mercedes-Benz,,,60180,,,Automatic,"7,850,000",
982,Ford,,,180814,,,Automatic,"4,266,000",
983,Land Rover,,,29555,,,Automatic,"17,930,000",
984,Toyota,2002,Nigerian Used,187433,3000,Petrol,Automatic,"2,100,000",SUV
985,Dodge,2013,Foreign Used,184192,5700,Petrol,Automatic,"11,550,000",
986,Toyota,2008,Foreign Used,201641,2400,Petrol,Automatic,"3,045,000",
987,Land Rover,2007,Nigerian Used,131041,4400,Petrol,Automatic,"2,625,000",SUV
988,Ford,2009,Foreign Used,114203,3500,Petrol,Automatic,"2,835,000",
989,Mercedes-Benz,2006,Nigerian Used,2418,5000,Petrol,Automatic,"4,935,000",
990,Toyota,2006,Foreign Used,82216,3000,Petrol,Automatic,"3,224,000",
991,Mercedes-Benz,,,57309,,,Automatic,"6,730,000",
992,Land Rover,2007,Nigerian Used,131041,4400,Petrol,Automatic,"2,625,000",SUV
993,Ford,2004,Foreign Used,398223,4000,Petrol,Automatic,"2,940,000",SUV
994,Lexus,2011,Nigerian Used,181282,3500,Petrol,Automatic,"7,280,000",SUV
995,Lexus,2010,Nigerian Used,93872,3500,Petrol,Automatic,"6,775,000",SUV
996,Mercedes-Benz,,,82420,,,Automatic,"17,930,000",
997,Mercedes-Benz,,,145284,,,Automatic,"6,730,000",
998,Land Rover,,,139707,,,Automatic,"2,586,000",
999,Lexus,2008,Nigerian Used,100098,3500,Petrol,Automatic,"3,675,000",SUV
1000,Mercedes-Benz,,,62217,,,Automatic,"24,650,000",
1001,Ford,,,205321,,,Automatic,"3,282,500",
1002,Toyota,2008,Foreign Used,201641,2400,Petrol,Automatic,"3,045,000",
1003,Lexus,,,97925,,,Automatic,"2,922,000",
1004,Lexus,2008,Nigerian Used,310333,3500,Petrol,Automatic,"3,432,000",
1005,Lexus,,,41774,,,Automatic,"13,450,000",
1006,Lexus,,,126224,,,Automatic,"2,362,000",
1007,Dodge,2013,Foreign Used,184192,5700,Petrol,Automatic,"11,550,000",
1008,Toyota,,,170154,,,Automatic,"6,730,000",
1009,Toyota,2019,Foreign Used,5359,1800,Petrol,Automatic,"9,975,000",
1010,Lexus,2010,Foreign Used,165472,3500,Petrol,Automatic,"7,350,000",SUV
1011,Jaguar,2005,Nigerian Used,99187,2700,Diesel,Automatic,"3,675,000",
1012,Dodge,2005,Foreign Used,157972,3300,Petrol,Automatic,"2,625,000",
1013,Dodge,2010,Foreign Used,349934,3300,Petrol,Automatic,"3,360,000",
1014,Lexus,2008,Nigerian Used,9976050,3500,Petrol,Automatic,"3,255,000",
1015,Toyota,2012,Nigerian Used,323406,2500,Petrol,Automatic,"3,990,000",
1016,Toyota,2014,Nigerian Used,30778,2400,Petrol,Automatic,"4,200,000",
1017,Nissan,2007,Nigerian Used,173224,3500,Petrol,Automatic,"1,518,750",
1018,Mercedes-Benz,,,60180,,,Automatic,"7,850,000",
1019,Mercedes-Benz,2006,Nigerian Used,2418,5000,Petrol,Automatic,"4,935,000",
1020,Toyota,2019,Foreign Used,5359,1800,Petrol,Automatic,"9,975,000",
1021,Mercedes-Benz,,,57309,,,Automatic,"6,730,000",
1022,Mercedes-Benz,2012,Nigerian Used,50149,3500,Petrol,Automatic,"7,800,000",SUV
1023,Ford,2004,Foreign Used,398223,4000,Petrol,Automatic,"2,940,000",SUV
1024,Peugeot,2003,Nigerian Used,3963,1600,Petrol,Automatic,"1,462,500",
1025,Mercedes-Benz,2013,Nigerian Used,125394,4700,Petrol,Automatic,"12,375,000",SUV
1026,Toyota,2009,Nigerian Used,172537,3500,Petrol,Automatic,"4,725,000",SUV
1027,Mercedes-Benz,2010,Nigerian Used,34365,3500,Petrol,Automatic,"7,280,000",SUV
1028,Mercedes-Benz,,,65126,,,Automatic,"4,490,000",
1029,Ford,2007,Nigerian Used,115975,3500,Petrol,Automatic,"2,200,000",SUV
1030,Jaguar,,,,,,,"4,500,000",
1031,Porsche,2017,Nigerian Used,68343,3600,Petrol,Automatic,"18,900,000",SUV
1032,Toyota,2004,Nigerian Used,158023,4700,Petrol,Automatic,"1,837,500",
1033,Lexus,2015,Foreign Used,98733,2500,Petrol,Automatic,"9,450,000",
1034,Lexus,2004,Nigerian Used,182267,4700,Petrol,Automatic,"2,625,000",SUV
1035,Lexus,2002,Brand New,111408,3000,Petrol,Automatic,"2,625,000",
1036,Hyundai,2011,Foreign Used,139301,2400,Petrol,Automatic,"4,160,000",
1037,Hyundai,2015,Nigerian Used,85847,1600,Petrol,Automatic,"5,040,000",SUV
1038,Toyota,2007,Nigerian Used,209228,2700,Petrol,Manual,"4,200,000",
1039,Toyota,2002,Nigerian Used,187433,3000,Petrol,Automatic,"2,100,000",SUV
1040,Toyota,2009,Foreign Used,139042,2400,Petrol,Automatic,"3,640,000",
1041,Toyota,2008,Nigerian Used,141473,2400,Petrol,Automatic,"2,925,000",SUV
1042,Mercedes-Benz,2008,Nigerian Used,263539,3000,Petrol,Automatic,"3,150,000",
1043,Ford,2007,Foreign Used,467397,3500,Petrol,Automatic,"2,835,000",SUV
1044,Lexus,,,242032,,,Automatic,"2,922,000",
1045,Toyota,2009,Nigerian Used,85296,3500,Petrol,Automatic,"4,830,000",SUV
1046,Toyota,2005,Nigerian Used,258088,3300,Petrol,Automatic,"2,288,000",
1047,Mercedes-Benz,,,48780,,,Automatic,"19,050,000",
1048,Toyota,2015,Nigerian Used,70075,3000,Petrol,Automatic,"4,725,000",
1049,Toyota,2015,Foreign Used,71146,1800,Petrol,Automatic,"6,500,000",
1050,Hyundai,2011,Foreign Used,262343,2400,Petrol,Automatic,"3,675,000",
1051,Hyundai,2011,Foreign Used,177739,2400,Petrol,Automatic,"4,888,000",
1052,Mercedes-Benz,2011,Foreign Used,,3000,Petrol,Automatic,"5,460,000",
1053,Toyota,2009,Nigerian Used,169241,2400,Petrol,Automatic,"3,016,000",
1054,Lexus,2006,Foreign Used,201926,3000,Petrol,Automatic,"4,160,000",
1055,Mercedes-Benz,2012,Nigerian Used,95610,4700,Petrol,Automatic,"4,350,000",
1056,Toyota,2015,Foreign Used,62298,1800,Petrol,Automatic,"6,032,000",
1057,Lexus,2010,Nigerian Used,163603,3500,Petrol,Automatic,"4,688,000",
1058,Hyundai,2013,Foreign Used,190676,2000,Petrol,Automatic,"3,517,500",
1059,Lexus,2007,Nigerian Used,,3600,Petrol,Automatic,"4,992,000",SUV
1060,Toyota,2012,Nigerian Used,370677,2500,Petrol,Automatic,"4,387,500",
1061,Hyundai,,,5843,,,Manual,"7,895,000",
1062,Toyota,2013,Foreign Used,79207,2400,Petrol,Automatic,"4,960,000",
1063,Ford,2012,Nigerian Used,88139,2000,Petrol,Automatic,"3,675,000",
1064,Jaguar,,,,,,,"4,500,000",
1065,Land Rover,2008,Nigerian Used,78565,4400,Petrol,Automatic,"2,415,000",SUV
1066,Toyota,2009,Foreign Used,167190,1800,Petrol,Automatic,"4,160,000",
1067,Toyota,2016,Foreign Used,218050,1800,Petrol,Automatic,"6,760,000",
1068,Lexus,2008,Foreign Used,155665,3500,Petrol,Automatic,"3,570,000",SUV
1069,Hyundai,2011,Foreign Used,189814,2000,Petrol,Automatic,"3,255,000",
1070,Lexus,2004,Nigerian Used,220223,3300,Petrol,Automatic,"2,600,000",
1071,Lexus,2005,Foreign Used,101051,3300,Petrol,Automatic,"2,520,000",
1072,Ford,2003,Nigerian Used,426254,4000,Petrol,Automatic,"2,047,500",
1073,Toyota,2008,Nigerian Used,307470,2400,Petrol,Automatic,"2,835,000",SUV
1074,Toyota,,,126364,,,Automatic,"7,850,000",
1075,Lexus,2014,Foreign Used,187603,3300,Petrol,Automatic,"9,240,000",
1076,Ford,2007,Nigerian Used,115975,3500,Petrol,Automatic,"2,200,000",SUV
1077,Jeep,,,190057,,,Automatic,"3,930,000",
1078,Hyundai,2011,Foreign Used,115527,2400,Petrol,Automatic,"3,675,000",
1079,Hyundai,2017,Nigerian Used,66012,1600,Petrol,Automatic,"6,825,000",
1080,Mercedes-Benz,2013,Nigerian Used,239707,4500,Petrol,Automatic,"18,720,000",
1081,Toyota,2009,Nigerian Used,172537,3500,Petrol,Automatic,"4,725,000",SUV
1082,Ford,2012,Nigerian Used,130722,3500,Petrol,CVT,"2,835,000",SUV
1083,Toyota,2010,Nigerian Used,108350,2400,Petrol,Automatic,"3,712,500",
1084,Ford,,,49215,,,Automatic,"3,930,000",
1085,Hyundai,,,200830,,,Manual,"4,000,000",
1086,Lexus,2010,Foreign Used,279373,3500,Petrol,Automatic,"9,880,000",SUV
1087,Hyundai,2013,Foreign Used,139775,2000,Petrol,Automatic,"8,112,000",SUV
1088,Toyota,2019,Foreign Used,16170,1800,Hybrid,CVT,"14,175,000",
1089,Mercedes-Benz,2007,Nigerian Used,210226,4500,Petrol,Automatic,"4,249,440",SUV
1090,Toyota,,,22914,,,Automatic,"10,202,000",
1091,Mercedes-Benz,2010,Nigerian Used,,3500,Petrol,Automatic,"6,032,000",SUV
1092,Mercedes-Benz,2007,Foreign Used,192028,3500,Petrol,Automatic,"6,448,000",SUV
1093,Lexus,2004,Nigerian Used,179555,3400,Petrol,Automatic,"3,640,000",SUV
1094,Toyota,2011,Foreign Used,147685,1800,Petrol,Automatic,"4,472,000",
1095,Hyundai,2012,Nigerian Used,259708,2000,Petrol,Automatic,"3,640,000",
1096,Jeep,2011,Foreign Used,119865,3700,Petrol,Automatic,"5,775,000",SUV
1097,Porsche,,,148559,,,Automatic,"2,698,000",
1098,Hyundai,2018,Foreign Used,159401,2400,Petrol,Automatic,"13,125,000",
1099,Hyundai,2011,Foreign Used,229956,2400,Petrol,Automatic,"3,360,000",
1100,Toyota,2004,Nigerian Used,158023,4700,Petrol,Automatic,"1,837,500",
1101,Acura,2005,Foreign Used,288147,3500,Petrol,Automatic,"2,310,000",SUV
1102,Lexus,2004,Nigerian Used,78851,3600,Petrol,Automatic,"3,848,000",SUV
1103,Lexus,2002,Foreign Used,10540,35,Petrol,Automatic,"2,730,000",
1104,Porsche,2017,Nigerian Used,68343,3600,Petrol,Automatic,"18,900,000",SUV
1105,Lexus,2003,Nigerian Used,299647,4700,Petrol,Automatic,"3,675,000",SUV
1106,Hyundai,2012,Foreign Used,129479,2000,Petrol,Automatic,"4,168,000",
1107,Lexus,2010,Nigerian Used,108096,5700,Petrol,Automatic,"15,750,000",SUV
1108,Toyota,2011,Foreign Used,95491,1800,Petrol,Automatic,"4,680,000",
1109,Toyota,2010,Foreign Used,185585,1800,Petrol,Automatic,"3,675,000",
1110,Lexus,2004,Nigerian Used,78851,3600,Petrol,Automatic,"3,848,000",SUV
1111,Toyota,2006,Foreign Used,82216,3000,Petrol,Automatic,"3,224,000",
1112,Hyundai,2011,Foreign Used,262343,2400,Petrol,Automatic,"3,675,000",
1113,Toyota,,,126364,,,Automatic,"7,850,000",
1114,Hyundai,2013,Foreign Used,139775,2000,Petrol,Automatic,"8,112,000",SUV
1115,Hyundai,2016,Foreign Used,194783,2400,Petrol,Automatic,"5,250,000",
1116,Toyota,2008,Nigerian Used,56479,3500,Petrol,Automatic,"5,400,000",SUV
1117,Toyota,,,22914,,,Automatic,"10,202,000",
1118,Toyota,2019,Foreign Used,16170,1800,Hybrid,CVT,"14,175,000",
1119,Mercedes-Benz,,,84716,,,Automatic,"5,610,000",
1120,Toyota,2006,Foreign Used,136201,2500,Petrol,Automatic,"2,625,000",
1121,Lexus,2003,Nigerian Used,252622,3500,Petrol,Automatic,"2,600,000",SUV
1122,Pontiac,2007,Foreign Used,322537,3400,Petrol,Automatic,"2,205,000",SUV
1123,Ford,2008,Foreign Used,298967,5400,Petrol,Automatic,"2,625,000",
1124,Toyota,2013,Foreign Used,79207,2400,Petrol,Automatic,"4,960,000",
1125,Hyundai,,,116158,,,Automatic,"4,490,000",
1126,Fiat,,,319568,,,Automatic,"1,620,000",
1127,Lexus,2003,Nigerian Used,252622,3500,Petrol,Automatic,"2,600,000",SUV
1128,Toyota,2017,Foreign Used,101103,1800,Petrol,Automatic,"7,350,000",
1129,Toyota,2006,Foreign Used,136201,2500,Petrol,Automatic,"2,625,000",
1130,Toyota,2012,Foreign Used,78080,2800,Petrol,Automatic,"4,200,000",
1131,Toyota,2006,Nigerian Used,206432,3300,Petrol,Automatic,"2,860,000",SUV
1132,Ford,2007,Nigerian Used,127500,4000,Petrol,Automatic,"2,205,000",SUV
1133,Toyota,2013,Foreign Used,74142,1800,Petrol,Automatic,"4,095,000",
1134,Hyundai,2016,Foreign Used,194783,2400,Petrol,Automatic,"5,250,000",
1135,Toyota,2003,Nigerian Used,199651,4000,Petrol,Automatic,"2,912,000",SUV
1136,Toyota,2010,Nigerian Used,87786,2400,Petrol,Automatic,"3,150,000",
1137,Toyota,2004,Nigerian Used,345811,3300,Petrol,Automatic,"2,496,000",
1138,Ford,2008,Foreign Used,298967,5400,Petrol,Automatic,"2,625,000",
1139,Jeep,,,,,,Automatic,"5,610,000",
1140,Toyota,2013,Foreign Used,74142,1800,Petrol,Automatic,"4,095,000",
1141,Lexus,2007,Nigerian Used,,3500,Petrol,Automatic,"3,150,000",SUV
1142,Toyota,2012,Nigerian Used,370677,2500,Petrol,Automatic,"4,387,500",
1143,Jeep,,,,,,Automatic,"5,610,000",
1144,Toyota,2009,Foreign Used,207347,1800,Petrol,Automatic,"3,727,500",
1145,Hummer,2005,Nigerian Used,139809,6000,Petrol,Automatic,"6,300,000",SUV
1146,Hyundai,2012,Nigerian Used,259708,2000,Petrol,Automatic,"3,640,000",
1147,Lexus,2005,Nigerian Used,134607,4500,Petrol,Automatic,"2,625,000",SUV
1148,Toyota,2012,Foreign Used,78080,2800,Petrol,Automatic,"4,200,000",
1149,Hyundai,2016,Nigerian Used,191019,2400,Petrol,Automatic,"4,725,000",
1150,Mercedes-Benz,2010,Nigerian Used,,3500,Petrol,Automatic,"6,032,000",SUV
1151,Chevrolet,2000,Foreign Used,319491,2200,Petrol,Manual,"3,150,000",
1152,Toyota,2007,Nigerian Used,102334,2400,Petrol,Automatic,"2,415,000",
1153,MG,2003,Nigerian Used,105744,1800,Diesel,Automatic,"1,575,000",
1154,Toyota,2009,Foreign Used,167190,1800,Petrol,Automatic,"4,160,000",
1155,Toyota,2015,Foreign Used,236022,1800,Petrol,Automatic,"6,090,000",
1156,Hyundai,2015,Foreign Used,172745,2400,Petrol,Automatic,"5,775,000",
1157,Dodge,2012,Nigerian Used,190880,3500,Petrol,Automatic,"4,725,000",
1158,Honda,2010,Nigerian Used,308710,1300,Petrol,Automatic,"2,940,000",
1159,Toyota,2013,Foreign Used,88055,2500,Petrol,Automatic,"5,720,000",
1160,Toyota,2007,Nigerian Used,81254,3500,Petrol,Automatic,"2,600,000",
1161,Toyota,2005,Nigerian Used,98692,2400,Petrol,Automatic,"2,600,000",SUV
1162,Ford,2012,Nigerian Used,226281,3500,Petrol,Automatic,"2,520,000",SUV
1163,Toyota,2007,Nigerian Used,163559,3500,Petrol,Automatic,"2,520,000",
1164,Acura,2008,Nigerian Used,158238,2300,Petrol,Automatic,"3,432,000",SUV
1165,Hyundai,2011,Foreign Used,138548,2400,Petrol,Automatic,"3,952,000",
1166,Hyundai,2014,Foreign Used,112615,2400,Petrol,Automatic,"6,825,000",SUV
1167,Hyundai,2015,Nigerian Used,180020,2400,Petrol,Automatic,"5,250,000",
1168,Toyota,2009,Nigerian Used,124173,2400,Petrol,Automatic,"3,328,000",
1169,Hyundai,2018,Foreign Used,134257,1800,Petrol,Automatic,"8,400,000",
1170,Toyota,2013,Nigerian Used,78485,3500,Petrol,Automatic,"4,680,000",
1171,Lexus,2004,Nigerian Used,254872,3300,Petrol,Automatic,"3,150,000",SUV
1172,Ford,,,206590,,,Automatic,"4,154,000",
1173,Land Rover,2014,Foreign Used,204656,3500,Petrol,Automatic,"22,050,000",SUV
1174,Toyota,2010,Foreign Used,93012,1800,Petrol,Automatic,"4,680,000",
1175,Toyota,2009,Foreign Used,306514,1800,Petrol,Automatic,"3,570,000",
1176,Hyundai,2016,Nigerian Used,77842,2400,Petrol,Automatic,"6,032,000",
1177,Hyundai,2016,Nigerian Used,191019,2400,Petrol,Automatic,"4,725,000",
1178,Toyota,2012,Nigerian Used,82882,2500,Petrol,Automatic,"3,570,000",
1179,Hyundai,2015,Nigerian Used,71181,1600,Petrol,Automatic,"8,400,000",SUV
1180,Toyota,2007,Nigerian Used,290721,3500,Petrol,Automatic,"2,782,500",SUV
1181,Hyundai,2012,Foreign Used,132315,2400,Petrol,Automatic,"3,990,000",
1182,Lexus,2004,Foreign Used,144353,3300,Petrol,Automatic,"2,940,000",
1183,Dodge,2008,Nigerian Used,2870739,3500,Petrol,Automatic,"2,100,000",
1184,Toyota,2011,Foreign Used,199390,1800,Petrol,Automatic,"4,368,000",
1185,Hyundai,2015,Nigerian Used,180020,2400,Petrol,Automatic,"5,250,000",
1186,Toyota,2005,Nigerian Used,98692,2400,Petrol,Automatic,"2,600,000",SUV
1187,Infiniti,2004,Nigerian Used,101828,4500,Petrol,Automatic,"2,625,000",SUV
1188,Toyota,2004,Nigerian Used,184240,3300,Petrol,Automatic,"1,890,000",
1189,Hyundai,2015,Nigerian Used,86960,3300,Petrol,Automatic,"6,615,000",SUV
1190,Ford,2010,Nigerian Used,280188,3000,Petrol,Automatic,"2,625,000",SUV
1191,Renault,,,82123,,,Automatic,"1,690,000",
1192,Toyota,2007,Nigerian Used,219127,2400,Petrol,Automatic,"2,600,000",
1193,Hyundai,2015,Foreign Used,122448,2400,Petrol,AMT,"9,450,000",SUV
1194,Toyota,2011,Nigerian Used,163716,2400,Petrol,Automatic,"2,730,000",
1195,Toyota,2007,Nigerian Used,188877,2400,Petrol,Automatic,"2,600,000",
1196,Toyota,2013,Foreign Used,88055,2500,Petrol,Automatic,"5,720,000",
1197,Toyota,2009,Foreign Used,92602,1800,Petrol,Automatic,"3,570,000",
1198,Lexus,2005,Nigerian Used,76060,3300,Petrol,Automatic,"2,600,000",
1199,Ford,2010,Foreign Used,463172,3000,Petrol,Automatic,"2,835,000",SUV
1200,Lexus,,,184611,,,Automatic,"2,922,000",
1201,Toyota,2009,Nigerian Used,169361,3600,Petrol,Automatic,"2,808,000",
1202,Ford,2009,Nigerian Used,11096,3500,Petrol,Automatic,"2,100,000",
1203,Toyota,2012,Nigerian Used,143200,2500,Petrol,Automatic,"3,990,000",
1204,Toyota,2011,Foreign Used,199390,1800,Petrol,Automatic,"4,368,000",
1205,Lexus,2008,Nigerian Used,100098,3500,Petrol,Automatic,"3,675,000",SUV
1206,Land Rover,2007,Nigerian Used,185503,4200,Petrol,Automatic,"2,100,000",SUV
1207,Toyota,2002,Nigerian Used,196880,5600,Petrol,Automatic,"2,310,000",SUV
1208,Lexus,2004,Nigerian Used,195760,3300,Petrol,Automatic,"2,496,000",
1209,Toyota,2008,Nigerian Used,308809,3500,Petrol,Automatic,"2,625,000",SUV
1210,Hyundai,2014,Foreign Used,112615,2400,Petrol,Automatic,"6,825,000",SUV
1211,Toyota,2007,Nigerian Used,91854,2400,Petrol,Automatic,"2,205,000",SUV
1212,Lexus,2006,Nigerian Used,310182,3000,Petrol,Automatic,"2,310,000",
1213,Toyota,2008,Nigerian Used,211165,3500,Petrol,Automatic,"2,625,000",SUV
1214,Lexus,2007,Nigerian Used,228749,2500,Petrol,Automatic,"2,782,500",
1215,Lexus,2010,Nigerian Used,163603,3500,Petrol,Automatic,"4,688,000",
1216,Lexus,,,112762,,,Automatic,"1,914,000",
1217,Toyota,2010,Nigerian Used,87786,2400,Petrol,Automatic,"3,150,000",
1218,Land Rover,2014,Foreign Used,204656,3500,Petrol,Automatic,"22,050,000",SUV
1219,Toyota,2004,Nigerian Used,138325,4700,Petrol,Automatic,"2,912,000",SUV
1220,Lexus,2005,Nigerian Used,152784,2500,Petrol,Automatic,"2,782,500",
1221,Acura,2009,Nigerian Used,10351,35,Petrol,Automatic,"3,640,000",
1222,Lexus,2004,Nigerian Used,106126,3300,Petrol,Automatic,"2,288,000",
1223,Mercedes-Benz,2007,Foreign Used,305375,3500,Petrol,Automatic,"3,675,000",SUV
1224,Toyota,2009,Foreign Used,306514,1800,Petrol,Automatic,"3,570,000",
1225,Acura,2007,Nigerian Used,354807,3700,Petrol,Automatic,"2,572,500",SUV
1226,Toyota,2010,Foreign Used,93012,1800,Petrol,Automatic,"4,680,000",
1227,Toyota,2009,Nigerian Used,256020,2400,Petrol,Automatic,"2,600,000",
1228,Ford,2010,Nigerian Used,83505,1600,Petrol,Automatic,"1,912,500",
1229,Toyota,2011,Nigerian Used,145611,3500,Petrol,Automatic,"2,520,000",
1230,Lexus,2002,Foreign Used,194524,3300,Petrol,Automatic,"2,520,000",
1231,Hyundai,2012,Foreign Used,180555,1800,Petrol,Automatic,"3,990,000",
1232,Nissan,2008,Foreign Used,113279,3500,Petrol,Automatic,"3,675,000",SUV
1233,MG,2003,Nigerian Used,105744,1800,Diesel,Automatic,"1,575,000",
1234,Lexus,2007,Foreign Used,259837,3500,Petrol,Automatic,"4,732,000",
1235,Renault,,,29955,,,Automatic,"1,707,500",
1236,Renault,,,82123,,,Automatic,"1,690,000",
1237,Hyundai,,,126473,,,Automatic,"6,730,000",
1238,Lexus,2002,Nigerian Used,125060,3000,Petrol,Automatic,"2,496,000",
1239,Ford,2010,Nigerian Used,280188,3000,Petrol,Automatic,"2,625,000",SUV
1240,Toyota,2008,Nigerian Used,211165,3500,Petrol,Automatic,"2,625,000",SUV
1241,Toyota,2004,Nigerian Used,258147,3300,Petrol,Automatic,"2,496,000",
1242,Toyota,2007,Nigerian Used,,2400,Petrol,Automatic,"2,100,000",
1243,Toyota,2012,Nigerian Used,34224,3500,Petrol,Automatic,"4,410,000",
1244,Lexus,2005,Nigerian Used,76060,3300,Petrol,Automatic,"2,600,000",
1245,Toyota,2009,Nigerian Used,136477,1800,Petrol,Automatic,"3,692,000",
1246,Toyota,2007,Nigerian Used,102334,2400,Petrol,Automatic,"2,415,000",
1247,Ford,2009,Nigerian Used,11096,3500,Petrol,Automatic,"2,100,000",
1248,Toyota,2011,Nigerian Used,57764,1800,Petrol,Automatic,"4,680,000",
1249,Toyota,2005,Nigerian Used,436987,1600,Petrol,Automatic,"2,137,500",
1250,Lexus,2004,Nigerian Used,195760,3300,Petrol,Automatic,"2,496,000",
1251,Toyota,2008,Foreign Used,166063,2400,Petrol,Automatic,"3,952,000",
